x,y,z
55.142002,16.736,34.620003
55.186,16.368,35.338
56.082005,34.944,80.920006
55.876003,35.054,80.578
55.798004,34.824,80.864006
56.622,34.820004,82.65401
56.494003,34.648003,83.04201
56.862003,34.982002,83.036
18.044,31.178001,191.494
18.1,31.316002,191.30602
18.176,31.092001,191.45001
17.686,31.852001,191.68001
17.678001,31.712002,191.546
17.652,31.246002,191.91402
3.404,28.766,170.158
3.2960002,28.398,170.348
3.456,28.944002,170.86801
3.68,29.052002,168.55
3.808,29.100002,168.048
3.6520002,28.716002,168.00801
36.952003,57.780003,105.914
36.898003,57.754,106.314
37.502003,57.860004,106.192
36.676003,57.766003,104.170006
36.198,57.680004,103.71001
36.912003,57.854004,104.536
51.036003,48.72,121.73401
50.854004,48.328003,121.892006
50.930004,48.304,121.698006
50.230003,49.576004,122.30801
49.840004,49.726,122.436005
50.318,49.154003,122.25201
56.446003,34.846,82.026
56.756004,35.054,82.268005
56.780003,35.256,81.880005
57.47,35.958,81.256004
57.726,35.954002,81.384
57.708004,36.230003,80.850006
60.796,56.302002,7.5920005
60.510002,56.572002,7.366
60.934002,56.622,7.872
61.708004,55.992004,7.998
61.326004,55.976,7.7560005
61.328003,56.236004,7.9460006
1.6060001,46.126003,7.5160003
1.2820001,46.81,7.5140004
1.4540001,46.212,7.4800005
4.0160003,46.076004,7.5740004
3.404,45.08,7.596
4.038,45.194,7.5920005
30.692001,19.442001,80.538
30.550001,19.608002,80.53001
30.724,19.720001,79.836006
30.998001,17.812,84.810005
31.222002,17.686,83.902
31.350002,17.454,84.352005
45.256,45.806004,74.11201
45.138,45.856003,73.714005
45.030003,46.084003,73.968
45.000004,45.966003,73.576004
44.686,46.288002,73.568
44.864002,46.216003,73.828
38.36,13.848001,106.948006
39.302002,13.556001,107.032005
38.752003,13.588,107.01601
36.834003,13.64,107.01201
37.374,13.752001,106.976006
36.992,13.512001,107.062004
22.220001,12.59,190.128
22.470001,12.078001,190.272
22.108002,12.112,190.608
21.736002,11.042001,192.02602
21.712002,10.548,192.602
21.29,10.784,192.86801
2.306,41.74,6.5880003
2.48,41.164,6.932
2.3400002,41.772003,6.9620004
3.2540002,38.118,5.4020004
2.8620002,39.47,4.9080005
3.5200002,37.174004,5.0340004
14.982,38.95,37.58
15.374001,38.81,37.440002
15.484001,38.384003,37.786003
16.284,38.414,36.238003
16.51,37.614002,36.926003
16.122002,38.322002,36.854
47.210003,14.316001,104.162
47.028004,13.966001,103.814
47.260002,13.714001,103.66
47.636,14.852,104.656006
47.898003,14.574,104.47201
47.992,15.06,104.80601
57.094,24.43,82.314
57.138004,24.618002,81.482
57.188004,24.630001,81.69601
57.752003,24.246,81.00201
57.774002,24.512001,80.416
57.866,24.058,80.722
30.636002,52.172,137.86401
30.390001,52.104004,137.81001
30.622002,52.048004,139.054
30.206001,52.888004,132.89201
30.446001,52.658,134.332
30.662,52.866,133.53801
2.14,42.386,6.5260005
2.176,42.382004,6.872
1.9000001,43.248,6.6060004
2.368,43.354004,7.5720005
2.272,43.988003,7.5680003
2.1780002,43.824,7.5220003
19.644001,51.904003,8.446
19.502,51.932003,8.308001
19.274,51.252003,8.33
20.898,53.418003,8.47
20.536001,53.306004,8.356
20.712002,53.208004,8.502001
17.684,31.524002,192.04001
17.692001,31.216002,192.33
17.130001,30.772001,192.92201
17.272001,30.656002,192.99
17.104,30.44,192.996
21.792002,35.036003,38.170002
21.968,35.134003,37.858
22.044,34.86,38.464
23.402,34.466003,39.798
23.306002,34.95,38.852
23.878,34.856003,39.476
62.874004,36.632,53.454002
63.254,36.684002,53.508003
62.916004,36.664,52.954002
61.896004,36.686,49.392002
61.780003,36.726,49.286003
61.770004,36.626003,50.128002
20.574001,50.984,31.588001
20.364,50.97,32.112003
20.696001,51.112003,32.232002
19.596,50.520004,31.560001
19.67,50.510002,31.042002
19.26,50.248,31.008001
4.214,50.198,0.22800002
4.912,48.938004,0.22000001
3.9600003,49.254,0.224
4.474,51.882004,0.42800003
4.248,51.784004,0.34600002
4.2200003,51.886,0.43800002
20.432001,33.516003,193.90001
20.726002,33.154003,194.38
20.62,33.4,193.934
21.142,33.706,193.67801
21.018002,33.43,193.94202
21.230001,33.594,193.89201
65.524,27.848001,41.726
65.778,27.740002,41.964
65.594,27.654001,42.000004
66.336006,27.44,42.988003
66.286,27.518002,42.818
66.536,27.546001,43.066
64.966,38.666,25.776001
65.07201,38.672,25.400002
65.01601,38.74,25.398
64.990005,38.346,28.388
64.936005,38.352,28.822
65.212006,38.432003,28.962002
12.120001,44.272003,36.978
11.986001,44.406002,37.158
12.054001,44.724003,37.066
12.272,45.982002,37.25
12.254001,45.528004,36.99
12.1380005,45.422,37.132
33.518,15.586,200.02802
33.530003,15.328001,199.95801
33.662003,15.372001,199.31201
33.538002,14.364,201.102
33.514,14.686001,201.25002
33.636,14.038001,201.15001
28.560001,61.730003,6.9020004
28.122002,61.550003,6.4480004
27.900002,61.444004,7.4620004
26.04,60.722004,5.932
24.622002,60.156002,5.7440004
24.616001,60.124004,6.2260003
15.236001,28.480001,201.03601
14.900001,28.420002,201.158
14.942,28.556002,201.52602
15.334001,28.87,201.466
15.342001,29.258001,201.55
15.580001,28.802002,201.02602
60.988003,35.538002,61.374004
61.072002,35.494003,61.348003
61.108,35.636,60.964005
61.420002,36.558002,59.126003
61.242004,36.298,59.866
61.4,36.4,59.184002
51.858,41.744003,90.54
52.08,41.398003,90.91601
52.146004,41.084003,90.742004
51.716003,42.084003,90.770004
51.652004,42.192,91.246
51.808002,41.952003,91.116005
